cl_CMB_lensing cl_CIB correlated_cls ell
1.4070517228043705e-06 1.5963536075649575e-08 8.119658799253238e-09 292
1.270913442498364e-06 1.848465730278847e-08 8.432982827939476e-09 293
1.327917641906475e-06 1.799740457801678e-08 3.0905275822757944e-09 294
1.3901374871131369e-06 1.699392186780096e-08 1.2666548014274897e-08 295
1.3413534991497793e-06 1.7489835412588392e-08 1.1054439911799595e-08 296
1.3518645012717602e-06 1.7325130126232824e-08 3.764849438778376e-09 297
1.4764001140165705e-06 1.5424363204826288e-08 1.068249657362013e-08 298
1.3618307801281682e-06 1.8084312680958167e-08 1.578185242763269e-08 299
1.3253854504839855e-06 1.6721226269158226e-08 8.230456476321584e-09 300
1.4209438092216865e-06 1.731271397516754e-08 1.0307208540467478e-08 301
1.4860290041039928e-06 1.6548038183306098e-08 9.534016207525356e-09 302
1.3757167438628622e-06 1.7486804405415287e-08 1.837566757772557e-08 303
1.5015003457707784e-06 1.63328784499526e-08 1.631456182506173e-08 304
1.3822476522866096e-06 1.558394735406333e-08 9.943283957701202e-09 305
1.3661026687014776e-06 1.7041834370714344e-08 1.5198806828997684e-08 306
1.4065372740740685e-06 1.6107082764494953e-08 1.1310208268698993e-08 307
1.2677715369219785e-06 1.5522966788632198e-08 1.695196945354193e-08 308
1.359847803638834e-06 1.5207528148480665e-08 6.5225465772349946e-09 309
1.501559561308546e-06 1.577642246123245e-08 1.7555770869088032e-08 310
1.263084037253953e-06 1.6682931635167682e-08 -4.218690446568102e-09 311
1.3864565946261923e-06 1.7487330604197372e-08 1.1785826724450777e-08 312
1.2088101904573706e-06 1.6430773285105302e-08 1.6518043538089644e-08 313
1.3318404789938218e-06 1.3547211068556683e-08 1.1155477687373806e-08 314
1.419350797195757e-06 1.524896357215481e-08 9.027593933740688e-09 315
1.3408317174118794e-06 1.4237913713093459e-08 1.218173340725801e-08 316
1.4416305360424183e-06 1.44209874666928e-08 -5.210573121914457e-09 317
1.3858387470042904e-06 1.4771843656569398e-08 1.4700464831351697e-08 318
1.4131496587208187e-06 1.474457745926347e-08 1.3025622510802533e-08 319
1.3379719040733097e-06 1.5572338671101128e-08 8.016146612410115e-09 320
1.3810022486163345e-06 1.582813508079885e-08 6.70776669863018e-09 321
1.5073901825209445e-06 1.6068010834490863e-08 1.422343095062683e-08 322
1.3044431878555647e-06 1.538805382601865e-08 1.5582652976856638e-08 323
1.2692682324779735e-06 1.5016926788855255e-08 2.787246853045684e-09 324
1.23194320998435e-06 1.5164371425554053e-08 1.6648261705208753e-08 325
1.4397237332137697e-06 1.4595938281013368e-08 1.52238788329315e-08 326
1.3416959123897948e-06 1.502168229713662e-08 1.9603938593494706e-08 327
1.4993019540948479e-06 1.4522588392615467e-08 1.631854761324264e-08 328
1.38411435931587e-06 1.472951130832333e-08 5.963498717417859e-09 329
1.3838904344156592e-06 1.526457750488482e-08 5.77916177472836e-09 330
1.412961341649241e-06 1.307150268663256e-08 4.55736873644501e-09 331
1.305458107609938e-06 1.6340866608901163e-08 9.980967598677725e-09 332
1.3261998781452546e-06 1.3954085633193722e-08 1.4478830780215027e-08 333
1.3028628057076087e-06 1.5688256162427283e-08 5.7381856245844334e-09 334
1.236958511860386e-06 1.4947588401203188e-08 8.879920815026807e-09 335
1.3685631384095517e-06 1.618872402462298e-08 2.3354271464595764e-08 336
1.3512583368573485e-06 1.3370207150776667e-08 9.424668584870255e-09 337
1.4239988237630326e-06 1.4458334401445715e-08 1.2697546876074286e-08 338
1.2995494525486002e-06 1.4435522773928079e-08 8.451533314554731e-09 339
1.5653585015610554e-06 1.2296737275503266e-08 1.505731513144581e-08 340
1.2644553602885557e-06 1.4539471602950998e-08 1.4664580277203937e-08 341
1.3472467995975672e-06 1.3859425197356035e-08 1.5601598877895516e-08 342
1.3719703921286373e-06 1.3871410538127367e-08 8.302377356159459e-09 343
1.431228558423689e-06 1.3268751820736819e-08 1.5155271205931956e-08 344
1.298746045161362e-06 1.3579836295532294e-08 1.7052478221840883e-08 345
1.4897853407688798e-06 1.2832315556263833e-08 1.494166556677506e-08 346
1.4772813200903113e-06 1.4090526198944337e-08 9.971944264430076e-09 347
1.383567067405384e-06 1.2696267874027317e-08 6.880008667304031e-09 348
1.4307766862999465e-06 1.3883917303345825e-08 3.305916806316471e-09 349
1.387564712382528e-06 1.2582500650358624e-08 3.0822105182926985e-09 350
1.4308548349651957e-06 1.2566729023177661e-08 1.4981554116499077e-08 351
1.3179409132633211e-06 1.2432946541721078e-08 8.317676907688366e-09 352
1.37516251606268e-06 1.3093151689823495e-08 4.653013191336317e-09 353
1.482433621162136e-06 1.3045198429599809e-08 1.0355707537335675e-08 354
1.4137079609237326e-06 1.2075424709407817e-08 8.503145084428396e-09 355
1.3845297499899895e-06 1.2505281297589861e-08 1.0200443183062653e-09 356
1.4351228216315979e-06 1.3386661633428811e-08 2.5017718678172895e-08 357
1.3993987659781979e-06 1.2628302044216105e-08 1.2669053134780876e-09 358
1.4263039015166722e-06 1.1973255416393326e-08 8.551937215997269e-09 359
1.3601213985059796e-06 1.390794409164954e-08 2.4744956544268118e-08 360
1.473968372174772e-06 1.3823838166366826e-08 1.2135142401098425e-08 361
1.4137491608992173e-06 1.4345792705104977e-08 1.9491214340470258e-08 362
1.4365595039804708e-06 1.4369462539286208e-08 1.4174243303039458e-08 363
1.2579961902471835e-06 1.2563339923135025e-08 1.3226305484993538e-08 364
1.3242741160106962e-06 1.2970491176934453e-08 5.749382632902804e-09 365
1.336253976933924e-06 1.2135074016187142e-08 7.571433656049248e-09 366
1.5300865267075696e-06 1.287708843483476e-08 1.2314045201894703e-08 367
1.3566013281065468e-06 1.1924332261716854e-08 1.6487449128123112e-08 368
1.2794792966947147e-06 1.2616990397182218e-08 1.1394489782854225e-08 369
1.4436317009918987e-06 1.1517489858796956e-08 1.7439106295295014e-08 370
1.4797691071720557e-06 1.1557325627594282e-08 1.1787602217733677e-08 371
1.3988880866627686e-06 1.2104491107558368e-08 1.724145537353301e-08 372
1.3113542105923638e-06 1.1708879765749672e-08 8.875909356318627e-09 373
1.434052709743446e-06 1.2193961189244965e-08 1.3877313116163372e-08 374
1.481594531280205e-06 1.1666624786614207e-08 1.3194814028201324e-08 375
